Name,Description,Age,Gender
Max,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",1,Male
Bella,"Energetic and curious, always exploring and eager to meet new friends. Loves outdoor adventures and keeps you on your toes.",9,Male
Charlie,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",15,Male
Lucy,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",5,Male
Cooper,A friendly and playful dog who loves spending time with people and other animals. Always ready for a game of fetch and enjoys long walks.,8,Male
Daisy,"Calm and loving, this dog prefers lounging by your side but still enjoys occasional playtime. Very affectionate and great with families.",15,Female
Buddy,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",2,Male
Luna,"Shy but loving, may take time to warm up but becomes deeply attached once comfortable. A loyal and sweet companion.",5,Male
Rocky,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",4,Male
Sadie,"Mischievous but sweet, often found getting into funny trouble around the house. Full of personality and love.",12,Male
Milo,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",4,Female
Molly,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",9,Female
Bear,"Energetic and curious, always exploring and eager to meet new friends. Loves outdoor adventures and keeps you on your toes.",13,Male
Bailey,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",7,Male
Duke,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",13,Male
Maggie,"Shy but loving, may take time to warm up but becomes deeply attached once comfortable. A loyal and sweet companion.",10,Female
Tucker,"Energetic and curious, always exploring and eager to meet new friends. Loves outdoor adventures and keeps you on your toes.",2,Male
Chloe,A friendly and playful dog who loves spending time with people and other animals. Always ready for a game of fetch and enjoys long walks.,9,Female
Jack,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",8,Female
Sophie,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",14,Male
Oliver,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",10,Male
Zoey,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",13,Male
Bentley,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",13,Male
Lily,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",6,Female
